Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69,Unnamed: 70,Unnamed: 71,Unnamed: 72,Unnamed: 73,Unnamed: 74,Unnamed: 75,Unnamed: 76,Unnamed: 77,Unnamed: 78,Unnamed: 79,Unnamed: 80,Unnamed: 81,Unnamed: 82,Unnamed: 83
,,,,,,,,,,,,,Month,Jun,,,,,,,,,,,,,,,,,,,,FY23,Q1,748,,FY23,748,90990.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Q2,746,,,746,93416.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,Sum of Total Data,,,,,,,,,,,,,,,,,,,,,,Q3,755,,,755,85887.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,Data Type,Units,Total,,,,,,,,,,,,,,,,,,,,Q4,767,,,767,86134.76999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,Vehicle Number - Cars,Cars,263,,,,,,,,,,,,,,,,,,Grand Total,,,17393,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,Grand Total,,263,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Country,New Zealand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country,Australia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Item Number,(All),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Data Type,(Multiple Items),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sum of Total Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data Type,Units,Financial Year,Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sum of Total Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Electricity Generated - Used Onsite - Solar,kWh,FY21,64183.100000000006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Units,Financial Year,Quarter,Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,FY22,84367,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,FY19,Q1,133958.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,FY23,91991.68800000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Q2,135335.62999999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grand Total,,,240541.788,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Q3,132815.38999999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Q4,131452.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FY20,Q1,129601.04000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,Country,New Zealand,,,,,,,,,,,,,,,,,,,,,Q2,135779.86000000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Q3,126660.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,Sum of Total Data,,,,,,,,,,,,,,,,,,,,,,Q4,53403.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,Data Type,Units,Financial Year,Total,,,,,,,,,,,,,,,,,,FY21,Q1,99523.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,Electricity Generated - Used Onsite - Solar,kWh,FY22,21607.7,,,,,,,,,,,,,,,,,,,Q2,108132.45000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country,(All),,,,,,,,,,,,,,FY23,119467.40000000001,,,,,,,,,,,,,,,,,,,Q3,104979.73000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Item Number,(Multiple Items),,,,,,,,,,,,Grand Total,,,141075.1,,,,,,,,,,,,,,,,,,,Q4,112436.79999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FY22,Q1,76856.48000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Row Labels,Sum of Scope 1 CO2e(t),Sum of Scope 2 CO2e(t),Sum of Scope 3 CO2e(t),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Q2,76411.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FY19,8180.9439999999995,18028.201000000012,23811.641200000027,,Year,Quarter,Scope 1 & 2,Scope 3,,,,,,,,,,,,,,,,,,,,,,,,,,,Q3,83289.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q1,2104.9543999999996,4785.114600000007,8281.128200000014,,,,6890.069000000007,8281.128200000014,,,,,,,,,,,,,,,,,,,,,,,,,,,Q4,90226.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q2,2114.7578999999996,4542.179199999997,6595.8558,,FY19,,6656.9370999999965,6595.8558,,,,,,,,,,,,,,,,,,,,,,,,,,FY23,Q1,90990.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q3,2035.1252999999997,4486.838000000012,4291.16280000001,,,,6521.963300000011,4291.16280000001,,,,,,,,,,,,,,,,,,,,,,,,,,,Q2,93416.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q4,1926.1064000000001,4214.069199999997,4643.494400000005,,,,6140.175599999997,4643.494400000005,,,,,,,,,,,,,,,,,,,,,,,,,,,Q3,85887.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FY20,6567.797100000001,14634.162799999996,13340.880400000024,,,,5877.866799999999,5006.316500000016,,,,,,,,,,,,,,,,,,,,,,,,,,,Q4,86134.76999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q1,1950.0877000000005,3927.7790999999984,5006.316500000016,,FY20,,5717.550599999997,4852.023800000002,,,,,,,,,,,,,,,,,,,,,,,,,Grand Total,,,2087292.4300000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q2,1927.6783000000003,3789.8722999999964,4852.023800000002,,,,5471.849,2745.7322000000054,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q3,1690.6029999999996,3781.246,2745.7322000000054,,,,4134.693500000002,736.8078999999991,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q4,999.4281000000001,3135.265400000002,736.8078999999991,,,,4326.845300000003,659.7350999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FY21,5416.194300000001,12455.042200000004,3194.4023999999977,,FY21,,4491.555100000001,661.9370999999995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q1,1231.0377,3095.8076000000024,659.7350999999999,,,,4515.716599999998,832.9265999999988,,,,,,,,,,,,,,,,,,,,,,,,,Country,New Zealand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q2,1360.7100999999998,3130.8450000000016,661.9370999999995,,,,4537.119500000001,1039.8035999999993,,,,,,,,,,,,,,,,,,,,,,,,,Item Number,(All),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q3,1411.0651000000007,3104.6514999999977,832.9265999999988,,,,3774.9662,1959.0814999999998,,,,,,,,,,,,,,,,,,,,,,,,,Data Type,LPG Stationary [L],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q4,1413.3813999999998,3123.7381000000014,1039.8035999999993,,FY22,,3965.744299999998,1541.6263,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FY22,4678.603499999999,10889.876099999998,7556.369699999996,,,,3833.9206000000013,1735.347299999999,,,,,,,,,,,,,,,,,,,,,,,,,Sum of Total Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q1,931.9041999999996,2843.0620000000004,1959.0814999999998,,,,3993.848499999999,2320.314599999997,,,,,,,,,,,,,,,,,,,,,,,,,Units,Financial Year,Quarter,Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q2,1191.0195999999996,2774.7246999999984,1541.6263,,,,3886.789800000001,3140.211199999998,,,,,,,,,,,,,,,,,,,,,,,,,L,FY21,Q1,10675,,,10.675,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q3,1204.5559000000005,2629.3647000000005,1735.347299999999,,FY23,,3774.268799999999,2852.148000000003,,,,,,,,,,,,,,,,,,,,,,,,,,,Q2,8324.4375,,FY21,8.3244375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q4,1351.1237999999996,2642.7246999999998,2320.314599999997,,,,3753.161000000001,2257.664800000001,,,,,,,,,,,,,,,,,,,,,,,,,,,Q3,6194.1181,,,6.1941181,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FY23,5409.511100000001,9728.5442,10761.4389,,,,3723.8357000000005,2511.414899999998,,,,,,,,,,,,,,,,,,,,,,,,,,,Q4,10767.4444,,,10.7674444,,,,,,,,,,,,,,RepairHub commentary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q1,1438.5115999999998,2448.278200000001,3140.211199999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FY22,Q1,26879.1339,,,26.8791339,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q2,1325.3504,2448.9183999999987,2852.148000000003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Q2,24098.5,,FY22,24.0985,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q3,1316.3444000000004,2436.8166000000006,2257.664800000001,,,Scope 1,Scope 2,Scope 3,,,,,,,,,,,,,,,,,,,,,,,,,,,Q3,24860.8208,,,24.860820800000003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q4,1329.3047000000001,2394.5310000000004,2511.414899999998,,,2104.9543999999996,4785.114600000007,8281.128200000014,,,,,,,,,,,,,,,,,,,,,,,,,,,Q4,48604.94,,,48.60494,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grand Total,30253.05,65735.8263,58664.73260000004,,FY19,2114.7578999999996,4542.179199999997,6595.8558,,,,,,,,,,,,,,,,,,,,,,,,,,FY23,Q1,82489.9745,,,82.4899745,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2035.1252999999997,4486.838000000012,4291.16280000001,,,,,,,,,,,,,,,,,,,,,,,,,,,Q2,69652.91530000001,,FY23,69.6529153,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,1926.1064000000001,4214.069199999997,4643.494400000005,,,,,,,,,,,,,,,,,,,,,,,,,,,Q3,62650.793699999995,,,62.650793699999994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,1950.0877000000005,3927.7790999999984,5006.316500000016,,,,,,,,,,,,,,,,,,,,,,,,,,,Q4,108015.92189999999,,,108.01592189999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,FY20,1927.6783000000003,3789.8722999999964,4852.023800000002,,,,,,,,,,,,,,,,,,,,,,,,,Grand Total,,,483214.00009999995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,1690.6029999999996,3781.246,2745.7322000000054,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,999.4281000000001,3135.265400000002,736.8078999999991,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,1231.0377,3095.8076000000024,659.7350999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,FY21,1360.7100999999998,3130.8450000000016,661.9370999999995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,1411.0651000000007,3104.6514999999977,832.9265999999988,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,1413.3813999999998,3123.7381000000014,1039.8035999999993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,931.9041999999996,2843.0620000000004,1959.0814999999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,FY22,1191.0195999999996,2774.7246999999984,1541.6263,,,,,,,,,,,,,,,,,,,,,,,,,Country,(All),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,1204.5559000000005,2629.3647000000005,1735.347299999999,,,,,,,,,,,,,,,,,,,,,,,,,Item Number,(All),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,1351.1237999999996,2642.7246999999998,2320.314599999997,,,,,,,,,,,,,,,,,,,,,,,,,Data Type,Employee Turnover [%],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,1438.5115999999998,2448.278200000001,3140.211199999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,FY23,1325.3504,2448.9183999999987,2852.148000000003,,,,,,,,,,,,,,,,,,,,,,,,,Sum of Total Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,1316.3444000000004,2436.8166000000006,2257.664800000001,,,,,,,,,,,,,,,,,,,,,,,,,Units,Financial Year,Quarter,Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,1329.3047000000001,2394.5310000000004,2511.414899999998,,,,,,,,,,,,,,,,,,,,,,,,,%,FY19,Q1,353.0400000000001,,Country,New Zealand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Q2,330.15000000000003,,Item Number,(All),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Q3,300.9599999999999,,Data Type,LPG Stationary [L],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Q4,282.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FY20,Q1,274.10999999999996,,Sum of Total Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Q2,252.06,,Units,Financial Year,Quarter,Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Q3,245.18999999999997,,L,FY21,Q1,10675,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Q4,206.91000000000003,,,,Q2,8324.4375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FY21,Q1,226.49999999999997,,,,Q3,6194.1181,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Q2,224.12999999999994,,,,Q4,10767.4444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Q3,243.02999999999992,,,FY22,Q1,26879.1339,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Q4,305.60999999999984,,,,Q2,24098.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FY22,Q1,345.2699999999999,,,,Q3,24860.8208,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Q2,362.4300000000001,,,,Q4,48604.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Q3,372.36000000000007,,,FY23,Q1,82489.9745,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Q4,376.04999999999995,,,,Q2,69652.91530000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FY23,Q1,390.03000000000003,,,,Q3,62650.793699999995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Q2,401.94000000000017,,,,Q4,108015.92189999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Q3,398.69999999999993,,Grand Total,,,483214.00009999995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Q4,375.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Grand Total,,,6266.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
